,year,month,number_of_cases,delta,date
0,2020,1,6,,2020/1
1,2020,2,29,23.0,2020/2
2,2020,3,4010,3981.0,2020/3
3,2020,4,68745,64735.0,2020/4
4,2020,5,214115,145370.0,2020/5
5,2020,6,723419,509304.0,2020/6
6,2020,7,2705670,1982251.0,2020/7
7,2020,8,3979145,1273475.0,2020/8
8,2020,9,4147958,168813.0,2020/9
9,2020,10,4625984,478026.0,2020/10
10,2020,11,5383958,757974.0,2020/11
11,2020,12,8228377,2844419.0,2020/12
12,2021,1,12638710,4410333.0,2021/1
13,2021,2,13896881,1258171.0,2021/2
14,2021,3,16102126,2205245.0,2021/3
15,2021,4,15911356,-190770.0,2021/4
16,2021,5,16877233,965877.0,2021/5
17,2021,6,16661922,-215311.0,2021/6
18,2021,7,17631915,969993.0,2021/7
19,2021,8,18947662,1315747.0,2021/8
20,2021,9,20107974,1160312.0,2021/9
21,2021,10,22265640,2157666.0,2021/10
22,2021,11,23126457,860817.0,2021/11
23,2021,12,25889754,2763297.0,2021/12
24,2022,1,31701685,5811931.0,2022/1
25,2022,2,34360535,2658850.0,2022/2
26,2022,3,38892025,4531490.0,2022/3
27,2022,4,38200904,-691121.0,2022/4
28,2022,5,39870399,1669495.0,2022/5
29,2022,6,39654709,-215690.0,2022/6
30,2022,7,42299135,2644426.0,2022/7
31,2022,8,43447140,1148005.0,2022/8
32,2022,9,42607221,-839919.0,2022/9
33,2022,10,42868118,260897.0,2022/10
