,DATE,Gross_domestic_product,year
0,2001-01-01,121269558,2001
1,2002-01-01,127396990,2002
2,2003-01-01,136851649,2003
3,2004-01-01,146707057,2004
4,2005-01-01,162502894,2005
5,2006-01-01,176072129,2006
6,2007-01-01,185076391,2007
7,2008-01-01,184084394,2008
8,2009-01-01,170372860,2009
9,2010-01-01,171977234,2010
10,2011-01-01,178683630,2011
11,2012-01-01,188469324,2012
12,2013-01-01,193885758,2013
13,2014-01-01,201675080,2014
14,2015-01-01,212365469,2015
15,2016-01-01,222843143,2016
16,2017-01-01,234563118,2017
17,2018-01-01,250119377,2018
18,2019-01-01,267325553,2019
19,2020-01-01,271078798,2020
